miRNA,mLi_1,mLi_2,mLi_3,mLu_1,mLu_2,mLu_3,nCR_1,nCR_2,nCR_3,nLi_1,nLi_2,nLi_3,nLu_1,nLu_2,nLu_3,pCRC_1,pCRC_2,pCRC_3
Hsa-Mir-2681_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-2681_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-27-P1_3p/27-P2_3p,37401.458,34118.8119,11268.8615,33636.0168,32868.1902,29970.3326,22691.0216,18967.9256,20871.6025,33299.1537,49984.8448,32228.4157,32006.724,31965.3402,47119.227,33938.103,28635.8347,40676.5589
Hsa-Mir-27-P1_5p*,59.3229,58.3276,34.7678,39.2435,67.8756,31.9814,30.2379,36.8366,29.5325,21.1619,16.0372,8.1098,0.0,14.5385,35.7463,37.737,23.6606,79.919
Hsa-Mir-27-P2_5p*,49.4358,41.2561,34.7678,52.3246,70.2162,69.6066,40.3172,44.204,29.5325,67.3332,49.7154,75.6916,67.718,75.1156,62.0856,62.8949,38.7174,42.1795
Hsa-Mir-28-P1_3p,3663.1908,4287.7913,6763.3621,5417.7795,5226.4237,3749.3486,7010.1524,6101.622,4835.4548,8545.5451,4989.1829,8301.7501,7070.5582,6193.4058,3356.3865,4884.8394,4624.5808,6331.362
Hsa-Mir-28-P1_5p*,482.8227,408.2933,361.9943,344.4705,404.9133,244.5636,874.3792,635.0638,763.9073,604.075,779.4095,716.3672,382.4077,382.8475,348.0558,519.9314,473.2129,757.0107
Hsa-Mir-28-P2_3p,2611.8567,2289.0034,4611.8481,5402.5181,5348.1318,3922.4244,3111.9835,2792.2177,1986.5529,3662.9261,2875.4757,3419.6398,6935.1222,7131.1398,5222.7181,2784.1488,5758.1409,3143.4813
Hsa-Mir-28-P2_5p,2094.4289,1826.6503,3073.8836,1366.981,1476.8802,869.1415,1915.0668,1240.6582,1342.7444,3820.6782,2947.6432,3100.6537,2362.1639,2318.8926,1762.8555,1618.4961,2837.1266,2137.8337
Hsa-Mir-28-P3_3p*,28.0136,5.6905,0.0,28.3425,30.427,35.7439,5.0396,0.0,0.0,0.0,4.8112,0.0,7.9668,0.0,15.0511,0.0,15.0568,15.5398
Hsa-Mir-28-P3_5p,74.1537,14.2262,12.271,52.3246,39.7892,133.5694,10.0793,16.2081,11.813,0.0,6.4149,0.0,15.9337,0.0,24.458,25.158,60.2271,64.3792
Hsa-Mir-29-P1a_3p,4632.1319,6013.4353,1793.6101,2934.5397,2654.1713,3847.1741,2517.3049,1486.727,1291.5547,2398.9858,2636.5209,1265.1316,1533.614,1054.0421,2400.6442,3266.3432,2387.5743,2746.1062
Hsa-Mir-29-P1a_5p*,14.8307,21.3394,0.0,8.7208,9.3622,9.4063,7.5595,0.0,9.8442,7.6952,9.6223,10.8131,0.0,0.0,9.4069,0.0,10.7548,17.7598
Hsa-Mir-29-P1b_3p,728.3537,563.3594,65.4453,355.3715,294.9079,532.3962,509.0046,322.689,490.2395,454.0182,936.5744,316.2829,386.3911,307.7318,978.3189,758.9321,139.8129,295.2564
Hsa-Mir-29-P1b_5p*,29.6615,5.6905,20.4517,21.8019,16.3838,24.4564,17.6388,20.6285,27.5637,21.1619,41.6968,24.3295,0.0,26.6539,33.8649,83.8599,10.7548,17.7598
Hsa-Mir-29-P2a_3p/29-P2b-v1_3p/29-P2b-v2_3p,502.597,258.9177,130.8906,420.7772,327.6755,737.4534,178.9076,89.8814,141.756,103.8855,214.8989,48.6589,67.718,67.8464,334.8861,356.4046,221.5497,144.2982
Hsa-Mir-29-P2a_5p*,3.2957,4.2679,8.1807,0.0,7.0216,0.0,5.0396,5.8939,0.0,3.8476,0.0,0.0,0.0,0.0,0.0,0.0,4.3019,6.6599
Hsa-Mir-29-P2b-v1_5p*/29-P2b-v2_5p*,3.2957,0.0,0.0,0.0,0.0,3.7625,5.0396,5.8939,5.9065,11.5428,3.2074,0.0,0.0,12.1154,3.7628,0.0,0.0,0.0
Hsa-Mir-296_3p*,0.0,0.0,0.0,0.0,0.0,0.0,7.5595,4.4204,0.0,3.8476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-296_5p,4.9436,0.0,0.0,4.3604,4.6811,0.0,12.5991,4.4204,0.0,11.5428,0.0,0.0,0.0,0.0,0.0,0.0,23.6606,0.0
Hsa-Mir-30-P1a_3p*,179.6166,209.1259,73.626,303.0468,250.4377,620.8154,191.5067,141.4527,255.9483,359.7517,330.367,324.3927,2401.9981,2844.702,2622.6473,46.1229,64.529,66.5992
Hsa-Mir-30-P1a_5p,4759.0171,5252.331,2047.2106,5993.3504,7735.4816,11979.8555,3321.129,2949.8786,4091.2357,9247.7342,12773.6553,9237.0824,44494.724,28694.1751,61442.1926,3119.5884,1662.6981,2641.7675
Hsa-Mir-30-P1b_3p*,487.7663,283.1023,177.9294,525.4265,388.5295,583.1902,430.89,411.097,437.081,727.1986,965.4414,616.3461,450.1257,617.8867,784.5365,251.5797,296.8336,215.3373
Hsa-Mir-30-P1b_5p,5442.8786,3051.5303,1744.5261,4098.7627,5212.3805,3645.8794,4346.6976,3660.0891,3492.7104,8408.9549,11678.3124,5933.6833,2079.3416,1764.006,4690.2868,5333.4899,3366.2647,3873.8523
Hsa-Mir-30-P1c_3p*,65.9144,54.0597,8.1807,63.2256,81.9189,80.8941,17.6388,35.3632,33.4702,61.5618,166.7872,35.1425,131.4526,96.9234,240.817,88.0529,40.8684,35.5196
