miRNA,mLi_1,mLi_2,mLi_3,mLu_1,mLu_2,mLu_3,nCR_1,nCR_2,nCR_3,nLi_1,nLi_2,nLi_3,nLu_1,nLu_2,nLu_3,pCRC_1,pCRC_2,pCRC_3
Hsa-Mir-1269_3p,104.0,136.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Hsa-Mir-1269_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1270_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1270_5p,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1271_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1271_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
Hsa-Mir-1276_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1276_5p,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1277_3p*,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Hsa-Mir-1277_5p,12.0,3.0,0.0,3.0,4.0,12.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
Hsa-Mir-1278_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1278_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-127_3p,3797.0,1004.0,2187.0,17.0,15.0,23.0,960.0,1437.0,1086.0,2149.0,964.0,958.0,5.0,18.0,10.0,484.0,1762.0,1087.0
Hsa-Mir-127_5p*,18.0,7.0,10.0,2.0,5.0,11.0,0.0,7.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0
Hsa-Mir-128-P1_3p/128-P2_3p,183.0,258.0,180.0,53.0,122.0,49.0,79.0,76.0,51.0,127.0,121.0,127.0,47.0,52.0,49.0,54.0,172.0,119.0
Hsa-Mir-128-P1_5p*,0.0,0.0,3.0,4.0,6.0,0.0,3.0,0.0,0.0,4.0,0.0,6.0,5.0,0.0,0.0,7.0,4.0,3.0
Hsa-Mir-128-P2_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1286_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1286_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1287_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1287_5p,0.0,4.0,0.0,2.0,4.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
Hsa-Mir-129-P1_3p*/129-P2_3p*,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-129-P1_5p/129-P2_5p,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Hsa-Mir-1294_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1294_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1295_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Hsa-Mir-1295_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1296_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1296_5p,18.0,13.0,19.0,12.0,21.0,10.0,21.0,48.0,23.0,22.0,21.0,15.0,0.0,12.0,7.0,17.0,46.0,13.0
Hsa-Mir-1298_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1298_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Hsa-Mir-130-P1a_3p,564.0,534.0,182.0,194.0,181.0,249.0,235.0,292.0,239.0,617.0,637.0,297.0,468.0,709.0,946.0,71.0,272.0,223.0
Hsa-Mir-130-P1a_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Hsa-Mir-130-P1b_3p,101.0,63.0,224.0,97.0,166.0,58.0,66.0,68.0,29.0,75.0,80.0,111.0,20.0,14.0,26.0,56.0,129.0,78.0
Hsa-Mir-130-P1b_5p*,12.0,15.0,25.0,4.0,7.0,0.0,10.0,7.0,8.0,9.0,15.0,39.0,3.0,8.0,4.0,8.0,18.0,11.0
Hsa-Mir-130-P2a_3p,263.0,81.0,70.0,65.0,221.0,170.0,41.0,43.0,53.0,35.0,56.0,19.0,39.0,44.0,182.0,41.0,59.0,61.0
Hsa-Mir-130-P2a_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Hsa-Mir-130-P2b_3p,53.0,11.0,22.0,12.0,59.0,20.0,10.0,8.0,3.0,6.0,4.0,7.0,4.0,2.0,7.0,11.0,17.0,18.0
